distance;min_signalstrength;max_signalstrength;avg_signalstrength
30;-63;-52;-54
40;-64;-59;-60
50;-55;-49;-52
60;-59;-51;-55
70;-61;-54;-56
80;-59;-56;-57
90;-58;-56;-57
100;-61;-54;-57
110;-78;-58;-59
120;-63;-58;-61
130;-82;-61;-73
140;-74;-64;-70
150;-79;-67;-69
160;-76;-68;-68
170;-81;-69;-71
180;-80;-64;-68
190;-68;-62;-64
200;-65;-61;-63
210;-77;-65;-70
220;-69;-62;-64
230;-72;-60;-63
240;-73;-62;-64
250;-74;-64;-68
260;-94;-64;-73
270;-71;-63;-66
280;-64;-60;-61
290;-67;-62;-63
300;-74;-62;-66
310;-80;-67;-72
320;-74;-65;-69
330;-73;-65;-70
340;-79;-61;-68
350;-71;-63;-66
360;-65;-63;-64
370;-78;-64;-70
380;-74;-64;-68
390;-81;-62;-67
400;-69;-63;-66
